Type,ID,Username,Display,Creation,Image,Notes,Verified,Private
Test,824829943423066112,riverganges04,Testvit04,Jan 2017,riverganges04,Test account,TRUE,TRUE
Test,824828757831712769,riverganges05,Testvit05,Jan 2017,riverganges05,Test account,TRUE,TRUE
Test,816324942417555457,amistida,Amistida,Jan 2017,amistida,Test account,TRUE,FALSE
Test,1171907157446410240,TestAnton1,Test Anton,Sep 2019,default,Test account for @murauyou,FALSE,FALSE
Test,1186410897532575744,TestAnton31,Test Anton 3,Oct 2019,default,Test account for @murauyou,FALSE,FALSE
Test,1201592540199174144,testnkabir,Nabs,Dec 2019,testnkabir,Test account for @KabirNabilah,TRUE,FALSE
Test,1242165162624176131,TestAnton41,Test Anton 4,Mar 2020,default,Test account for @murauyou,FALSE,FALSE
Test,1351582567443513347,SahilaIs,sahila is testing,Jan 2021,SahilaIs,Test account,TRUE,TRUE
Test,1366836982689583105,NtabVeri,test ntab,Mar 2021,NtabVeri,Test account,TRUE,TRUE
Test,1366842284319207424,NtabVeriSender,ntab sender,Mar 2021,NtabVeriSender,Test account,TRUE,TRUE
Test,1486493374769090563,heletest,hel-sage test,Jan 2022,heletest,Test account for @helensagelee,TRUE,FALSE
Misc,1054792530095525888,grayhamsays,Allen Grayham,Oct 2018,grayhamsays,Account for illustrative purposes,FALSE,TRUE
